source_stage,family,reason,events,pf_x1,pf_x4,pf_x6,boot_pf_p05_x4,median_x4,total_x4,win_rate_x4,original_pf_x4,original_total_x4,mirror_minus_original_pf_x4,decision
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.97,4,inf,inf,inf,0.0,5.7711,23.0846,1.0,0.0,-34.2846,inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.99,4,inf,inf,inf,0.0,3.2571,13.0286,1.0,0.0,-24.2286,inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.75,8,inf,inf,21.0,0.0,1.5971,12.7771,1.0,0.0,-35.1771,inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.86,4,inf,inf,inf,0.0,1.8251,7.3006,1.0,0.0,-18.5006,inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.62,2,inf,inf,inf,0.0,3.5731,7.1463,1.0,0.0,-12.7463,inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.58,6,inf,inf,inf,0.0,0.932,6.4194,1.0,0.0,-23.2194,inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.81,4,inf,inf,inf,0.0,1.5069,6.0274,1.0,0.0,-17.2274,inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.64,2,inf,inf,inf,0.0,2.4291,4.8583,1.0,0.0,-10.4583,inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.96,8,inf,inf,0.4065,0.0,0.5911,4.7291,1.0,0.0,-27.1291,inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.59,4,inf,inf,4.9203,0.0,1.1357,4.5429,1.0,0.0,-15.7429,inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.64,2,inf,inf,0.0,0.0,0.632,1.264,1.0,0.0,-6.864,inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.74,12,inf,9.603,1.7183,3.7368,0.5789,11.7394,0.6667,0.0,-45.3394,9.603,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.78,20,5.9441,3.2339,2.1216,1.4392,1.5114,34.4251,0.8,0.0445,-90.4251,3.1894,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.57,8,7.7487,2.5305,1.1488,0.0,1.2251,6.6206,0.75,0.0,-29.0206,2.5305,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.67,4,3.3967,2.1991,1.7074,0.0,2.3111,9.2446,0.5,0.0935,-20.4446,2.1056,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.69,4,3.0706,1.5944,1.0893,0.0,0.8606,3.4423,0.5,0.0129,-14.6423,1.5815,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.63,6,3.0307,1.3989,0.7946,0.0,2.1109,2.5829,0.6667,0.0432,-19.3829,1.3557,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.65,4,1.9188,1.0885,0.7556,0.0,0.1634,0.6537,0.5,0.1307,-11.8537,0.9578,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.83,20,2.3367,0.9887,0.5164,0.427,0.776,-0.2697,0.6,0.0264,-55.7303,0.9623,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.56,8,2.4144,0.9465,0.5268,0.0,-0.2234,-0.4606,0.25,0.0879,-21.9394,0.8586,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.70,6,1.9161,0.6996,0.2364,0.0,1.1823,-2.0309,0.6667,0.0728,-14.7691,0.6268,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.80,8,0.9612,0.6104,0.4389,0.0,-1.1434,-9.1474,0.5,0.481,-13.2526,0.1294,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.92,8,0.8982,0.5588,0.3927,0.0,-1.2954,-10.3634,0.5,0.5052,-12.0366,0.0536,STAGE26D_REJECT
stage26b,htf_bias_pullback_v2,unknown_reason,159,1.09,0.4736,0.2643,0.3362,-0.124,-148.1525,0.478,0.2551,-297.0475,0.2185,STAGE26D_REJECT
